Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,CA-2017-152156,2017-08-11,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,-23116,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
14,CA-2017-161389,2017-05-12,2017-10-12,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,32567,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
36,CA-2017-117590,2017-08-12,2017-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,9544,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544
68,CA-2015-106376,2015-05-12,2015-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,19698,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
70,CA-2017-119823,2017-04-06,2017-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
76,US-2018-118038,2018-09-12,2018-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,11505,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248
84,CA-2016-149734,2016-03-09,2016-08-09,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
89,CA-2017-159695,2017-05-04,2017-10-04,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,11559,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
96,US-2018-109484,2018-06-11,2018-12-11,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,31670,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
97,CA-2018-161018,2018-09-11,2018-11-11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
99,CA-2017-149223,2017-06-09,2017-11-09,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,-10430,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
103,CA-2017-129903,2017-01-12,2017-04-12,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,-9635,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
112,CA-2017-128867,2017-03-11,2017-10-11,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,-15214,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
118,CA-2016-110457,2016-02-03,2016-06-03,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,32567,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53
119,US-2016-136476,2016-05-04,2016-10-04,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,-27916,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
127,US-2018-107272,2018-05-11,2018-12-11,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,19487,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
129,US-2017-125969,2017-06-11,2017-10-11,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,24468,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424
131,US-2018-164147,2018-02-02,2018-05-02,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,-22307,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
141,CA-2017-110366,2017-05-09,2017-07-09,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
146,CA-2016-110744,2016-07-09,2016-12-09,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,25568,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
148,CA-2017-114489,2017-05-12,2017-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,-12404,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
158,CA-2015-104269,2015-01-03,2015-06-03,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,32579,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568
161,CA-2017-162733,2017-11-05,2017-12-05,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,24509,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98
164,CA-2017-113817,2017-07-11,2017-11-11,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,32579,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68
165,CA-2015-139892,2015-08-09,2015-12-09,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,12671,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936
172,CA-2015-118962,2015-05-08,2015-09-08,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,24468,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94
181,CA-2015-166191,2015-05-12,2015-09-12,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,-3015,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816
202,CA-2015-133690,2015-03-08,2015-05-08,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,14683,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75
205,CA-2018-126382,2018-03-06,2018-07-06,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,-28472,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168
207,CA-2018-135860,2018-01-12,2018-07-12,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,-16935,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92
213,CA-2016-146262,2016-02-01,2016-09-01,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,-21280,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68
232,US-2018-100930,2018-07-04,2018-12-04,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,-31922,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86
238,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,-4926,Central,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,25.92
245,CA-2015-131926,2015-01-06,2015-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,-10492,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86
259,CA-2018-163139,2018-01-12,2018-03-12,Second Class,CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37
262,US-2018-155299,2018-08-06,2018-12-06,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Pasadena,Texas,11970,Central,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624
283,CA-2016-130890,2016-02-11,2016-06-11,Standard Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,24468,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84
305,CA-2016-144253,2016-04-05,2016-09-05,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8
307,CA-2015-111003,2015-01-06,2015-06-06,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48
318,CA-2015-164973,2015-04-11,2015-09-11,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882
326,CA-2018-153339,2018-03-11,2018-05-11,Second Class,DJ-13510,Don Jones,Corporate,United States,Murfreesboro,Tennessee,-28406,South,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,15.992
335,CA-2016-137946,2016-01-09,2016-04-09,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,24509,West,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,4.752
